ticker,event_type,ann_date,eff_date,entry_date,exit_date,entry_price,exit_price,raw_return,net_return,vix_level,holding_days,year
AME,addition,2013-09-13,2013-09-20,2013-09-16,2013-09-20,41.71017074584961,42.33598327636719,0.015003835259529594,0.011003835259529594,14.15999984741211,4,2013
AMD,removal,2013-09-13,2013-09-20,2013-09-16,2013-09-20,3.819999933242798,3.8299999237060547,-0.002617798596338677,-0.00667255561208132,14.15999984741211,4,2013
VRTX,addition,2013-09-13,2013-09-20,2013-09-16,2013-09-20,76.18000030517578,76.1500015258789,-0.0003937881225610449,-0.004393788122561045,14.15999984741211,4,2013
DELL,removal,2013-10-22,2013-10-29,2016-08-17,2016-08-17,10.98052978515625,10.98052978515625,-0.0,-0.004,13.329999923706055,0,2013
RIG,addition,2013-10-22,2013-10-29,2013-10-23,2013-10-29,42.32053756713867,41.68089294433594,-0.015114283975906058,-0.01911428397590606,13.329999923706055,6,2013
ALLE,addition,2013-11-25,2013-12-02,2013-11-26,2013-12-02,37.963748931884766,37.9110107421875,-0.0013891723336356856,-0.005389172333635686,12.789999961853027,6,2013
ANF,removal,2013-12-16,2013-12-23,2013-12-17,2013-12-23,24.603626251220703,25.8369140625,-0.050126261823624785,-0.05420839734723875,16.030000686645508,6,2013
MHK,addition,2013-12-16,2013-12-23,2013-12-17,2013-12-23,139.8000030517578,145.42999267578125,0.04027174178200168,0.03627174178200168,16.030000686645508,6,2013
TER,removal,2013-12-16,2013-12-23,2013-12-17,2013-12-23,15.457651138305664,15.825695991516113,-0.023809882233555905,-0.027892017757169867,16.030000686645508,6,2013
TSCO,addition,2014-01-17,2014-01-24,2014-01-21,2014-01-24,12.252364158630371,11.793595314025879,-0.03744329165088867,-0.04144329165088867,12.4399995803833,3,2014
CLF,removal,2014-03-26,2014-04-02,2014-03-27,2014-04-02,18.08647918701172,18.746835708618164,-0.036511059713637425,-0.04059319523725139,14.930000305175781,6,2014
